question comparison,question transition,body comparison,body transition,paraphrase comparison,paraphrase transition,answer
How many watchs does Lucy have in total?,How many watchs does Andrew have totaled now?,Andrew has 18 watchs. Andrew has 15 fewer watchs than Isabella. Isabella has 11 more watchs than Lucy.,Andrew has 18 watchs. Isabella gave Andrew 15 watchs. Andrew gave 11 watchs to Lucy.,Andrew has 18 watches. Andrew has 15 fewer watches than Isabella. Isabella has 11 more watches than Lucy. How many watches does Lucy have in total?,Andrew has 18 watches. Isabella gave Andrew 15 watches. Andrew gave 11 watches to Lucy. How many watches does Andrew have in total now?,22
How many soaps does Logan have in all?,How many soaps does Ryan have totaled now?,Ryan has 19 soaps. Ryan has 10 fewer soaps than David. David has 5 more soaps than Nathan. Nathan has 2 fewer soaps than Amelia. Jacob has 9 more soaps than Amelia. Logan has 14 fewer soaps than Jacob.,Ryan has 19 soaps. David gave Ryan 10 soaps. Ryan gave 5 soaps to Nathan. Amelia gave Ryan 2 soaps. Jacob gave 9 soaps to Ryan. Ryan gave 14 soaps to Logan.,Ryan has 19 soaps. Ryan has 10 fewer soaps than David. David has 5 more soaps than Nathan. Nathan has 2 fewer soaps than Amelia. Jacob has 9 more soaps than Amelia. Logan has 14 fewer soaps than Jacob. How many soaps does Logan have in total?,Ryan has 19 soaps. David gave Ryan 10 soaps. Ryan gave 5 soaps to Nathan. Amelia gave Ryan 2 soaps. Jacob gave Ryan 9 soaps. Ryan gave 14 soaps to Logan. How many soaps does Ryan have in total now?,21
How many liters of milk does Abigail have?,How many liters of milk does Alexander have now?,Alexander has 14 liters of milk. Alexander has 6 liters of milk less than Lucy. Lucy has 19 liters of milk less than Abigail.,Alexander has 14 liters of milk. Lucy gave Alexander 6 liters of milk. Abigail gave Alexander 19 liters of milk.,Alexander has 14 liters of milk. Alexander has 6 liters less milk than Lucy. Lucy has 19 liters less milk than Abigail. How many liters of milk does Abigail have?,Alexander has 14 liters of milk. Lucy gave Alexander 6 liters of milk. Abigail gave Alexander 19 liters of milk. How many liters of milk does Alexander have now?,39
How many wallets does Ava have in their collection?,How many wallets does Nathan have totaled now?,Nathan has 19 wallets. Nathan has 8 more wallets than Ava.,Nathan has 19 wallets. Nathan gave 8 wallets to Ava.,Nathan has 19 wallets. Nathan has 8 more wallets than Ava. How many wallets does Ava have in her collection?,Nathan has 19 wallets. Nathan gave 8 wallets to Ava. How many wallets does Nathan have now in total?,11
What is the number of blue plates that Samuel has?,What is the number of blue plates that Jackson has now?,Jackson has 4 blue plates. Samuel has 11 more blue plates than Jackson.,Jackson has 4 blue plates. Samuel gave Jackson 11 blue plates.,Jackson has 4 blue plates. Samuel has 11 blue plates more than Jackson. What is the number of blue plates that Samuel has?,Jackson has 4 blue plates. Samuel gave Jackson 11 blue plates. What is the number of blue plates that Jackson has now?,15
How many headphones does Abigail have totaled?,How many headphones does Victoria have totaled now?,Victoria has 19 headphones. Joshua has 4 fewer headphones than Victoria. Ella has 3 fewer headphones than Joshua. Ella has 10 more headphones than Abigail.,Victoria has 19 headphones. Victoria gave Joshua 4 headphones. Victoria gave 3 headphones to Ella. Victoria gave 10 headphones to Abigail.,Victoria has 19 headphones. Joshua has 4 fewer headphones than Victoria. Ella has 3 fewer headphones than Joshua. Ella has 10 more headphones than Abigail. How many headphones does Abigail have in total?,Victoria has 19 headphones. Victoria gave Joshua 4 headphones. Victoria gave 3 headphones to Ella. Victoria gave 10 headphones to Abigail. How many headphones does Victoria have now in total?,2
How many liters of milk does Nicholas have?,How many liters of milk does Evelyn have now?,Evelyn has 18 liters of milk. Evelyn has 5 liters of milk more than Nicholas.,Evelyn has 18 liters of milk. Evelyn gave Nicholas 5 liters of milk.,Evelyn has 18 liters of milk. She has 5 liters more milk than Nicholas. How many liters of milk does Nicholas have?,Evelyn has 18 liters of milk. Evelyn gave Nicholas 5 liters of milk. How many liters of milk does Evelyn have now?,13
How many acres of farmland does Jonathan have?,How many acres of farmland does John have now?,John has 17 acres of farmland. Victoria has 16 acres of farmland more than John. Victoria has 12 acres of farmland more than Alexander. Alexander has 17 acres of farmland less than Nicholas. Nicholas has 13 acres of farmland more than Jonathan.,John has 17 acres of farmland. Victoria gave John 16 acres of farmland. John gave Alexander 12 acres of farmland. Nicholas gave John 17 acres of farmland. John gave Jonathan 13 acres of farmland.,John has 17 acres of farmland. Victoria has 16 more acres of farmland than John. Victoria has 12 more acres of farmland than Alexander. Alexander has 17 fewer acres of farmland than Nicholas. Nicholas has 13 more acres of farmland than Jonathan. How many acres of farmland does Jonathan have?,John has 17 acres of farmland. Victoria gave John 16 acres of farmland. John gave Alexander 12 acres of farmland. Nicholas gave John 17 acres of farmland. John gave Jonathan 13 acres of farmland. How many acres of farmland does John have now?,25
How many towels does Daniel have in their collection?,How many towels does Elizabeth have in total now?,Elizabeth has 6 towels. Ava has 14 more towels than Elizabeth. Mila has 5 fewer towels than Ava. Mila has 19 fewer towels than Henry. Henry has 4 more towels than Ella. Daniel has 3 more towels than Ella.,Elizabeth has 6 towels. Ava gave 14 towels to Elizabeth. Elizabeth gave Mila 5 towels. Henry gave Elizabeth 19 towels. Elizabeth gave Ella 4 towels. Daniel gave 3 towels to Elizabeth.,Elizabeth has 6 towels. Ava has 14 more towels than Elizabeth. Mila has 5 fewer towels than Ava. Mila has 19 fewer towels than Henry. Henry has 4 more towels than Ella. Daniel has 3 more towels than Ella. How many towels does Daniel have in his collection?,Elizabeth has 6 towels. Ava gave 14 towels to Elizabeth. Elizabeth gave Mila 5 towels. Henry gave Elizabeth 19 towels. Elizabeth gave Ella 4 towels. Daniel gave 3 towels to Elizabeth. How many towels does Elizabeth have in total now?,33
How many rugs does Christopher have in all?,How many rugs does Samuel have in total now?,Samuel has 20 rugs. Samuel has 5 more rugs than Joseph. Christopher has 5 fewer rugs than Joseph.,Samuel has 20 rugs. Samuel gave Joseph 5 rugs. Samuel gave 5 rugs to Christopher.,Samuel has 20 rugs. Samuel has 5 more rugs than Joseph. Christopher has 5 fewer rugs than Joseph. How many rugs does Christopher have in total?,Samuel has 20 rugs. Samuel gave Joseph 5 rugs. Samuel also gave 5 rugs to Christopher. How many rugs does Samuel have in total now?,10
