question,consistent body,inconsistent body,consistent paraphrased,inconsistent paraphrased,answer
How many tables does Elizabeth have totaled?,Emily owns 11 suitcases. Each of Emily's suitcase has 7 tables. Emily bought 19 tables. Elizabeth has 10 times as many tables as Emily.,Emily owns 11 suitcases. Each of Emily's suitcase has 7 tables. Emily bought 19 tables. Emily has 1/10 the amount of tables as Elizabeth.,Emily owns 11 suitcases. Each of Emily's suitcases has 7 tables. Emily bought 19 tables. Elizabeth has 10 times as many tables as Emily. How many tables does Elizabeth have in total?,Emily owns 11 suitcases. Each of Emily's suitcases has 7 tables. Emily bought 19 tables. Emily has 1/10 the number of tables as Elizabeth. How many tables does Elizabeth have in total?,960
How many backpacks does Jonathan have in all now?,Joseph has 20 backpacks. Joseph bought 7 more backpacks. Each of Joseph's backpack has 11 bowls. Jonathan has 1/3 the amount of backpacks as Joseph. Jonathan bought 17 more backpacks. Jonathan bought 20 more backpacks.,Joseph has 20 backpacks. Joseph bought 7 more backpacks. Each of Joseph's backpack has 11 bowls. Joseph has 3 times as many backpacks as Jonathan. Jonathan bought 17 more backpacks. Jonathan bought 20 more backpacks.,Joseph has 20 backpacks. Joseph bought 7 more backpacks. Each of Joseph's backpacks has 11 bowls. Jonathan has 1/3 the number of backpacks as Joseph. Jonathan bought 17 more backpacks. Jonathan bought 20 more backpacks. How many backpacks does Jonathan have in total now?,Joseph has 20 backpacks. Joseph bought 7 more backpacks. Each of Joseph's backpacks has 11 bowls. Joseph has 3 times as many backpacks as Jonathan. Jonathan bought 17 more backpacks. Jonathan bought 20 more backpacks. How many backpacks does Jonathan have in total now?,46
How many desks does Natalie have?,Avery has 15 desks. Avery bought 18 desks. Natalie has 16 fewer desks than Avery.,Avery has 15 desks. Avery bought 18 desks. Avery has 16 more desks than Natalie.,Avery has 15 desks. Avery bought 18 desks. Natalie has 16 fewer desks than Avery. How many desks does Natalie have?,Avery has 15 desks. Avery bought 18 desks. Avery has 16 more desks than Natalie. How many desks does Natalie have?,17
How many watchs does Emma have in all now?,Elijah has 8 watchs. Elijah bought 9 watchs. Emma has 17 fewer watchs than Elijah. Emma bought 12 watchs. Emma bought 8 watchs.,Elijah has 8 watchs. Elijah bought 9 watchs. Elijah has 17 more watchs than Emma. Emma bought 12 watchs. Emma bought 8 watchs.,Elijah has 8 watches. Elijah bought 9 watches. Emma has 17 fewer watches than Elijah. Emma bought 12 watches. Emma bought 8 watches. How many watches does Emma have in total now?,Elijah has 8 watches. Elijah bought 9 watches. Elijah has 17 more watches than Emma. Emma bought 12 watches. Emma bought 8 watches. How many watches does Emma have in total now?,20
How many gallons of oil does Samuel have?,Grace has 16 boxs. Grace bought 16 more boxs. Samuel has 1/16 the amount of boxs as Grace. Samuel possesses 18 gallons of oil per box.,Grace has 16 boxs. Grace bought 16 more boxs. Grace has 16 times as many boxs as Samuel. Samuel possesses 18 gallons of oil per box.,Grace has 16 boxes. Grace bought 16 more boxes. Samuel has 1/16th the amount of boxes as Grace. Samuel possesses 18 gallons of oil per box. How many gallons of oil does Samuel have?,Grace has 16 boxes. Grace bought 16 more boxes. Grace has 16 times as many boxes as Samuel. Samuel possesses 18 gallons of oil per box. How many gallons of oil does Samuel have?,36
What is the number of blue vases that Amelia has now?,Avery has 16 blue vases.  Amelia has 1/2 the amount of blue vases compared to the amount Avery has. Amelia bought 11 blue vases. Amelia bought 10 blue vases.,Avery has 16 blue vases.  Avery has 2 times the amount of blue vases compared to the amount Amelia has. Amelia bought 11 blue vases. Amelia bought 10 blue vases.,Avery has 16 blue vases. Amelia has half the number of blue vases compared to Avery. Amelia bought 11 blue vases. Amelia bought 10 blue vases. What is the number of blue vases that Amelia has now?,Avery has 16 blue vases. Avery has twice the number of blue vases compared to Amelia. Amelia bought 11 blue vases. Amelia bought 10 blue vases. What is the number of blue vases that Amelia has now?,29
How many beds does James have in their collection?,Charlotte has 12 beds. James has 8 fewer beds than Charlotte.,Charlotte has 12 beds. Charlotte has 8 more beds than James.,Charlotte has 12 beds. James has 8 fewer beds than Charlotte. How many beds does James have in his collection?,Charlotte has 12 beds. She has 8 more beds than James. How many beds does James have in his collection?,4
How many gigabytes of training data does Abigail have?,There are 18 backpacks in Victoria's collection. Abigail has 2 fewer backpacks than Victoria. Abigail bought 2 more backpacks. Abigail possesses 5 gigabytes of training data per backpack.,There are 18 backpacks in Victoria's collection. Victoria has 2 more backpacks than Abigail. Abigail bought 2 more backpacks. Abigail possesses 5 gigabytes of training data per backpack.,There are 18 backpacks in Victoria's collection. Abigail has 2 fewer backpacks than Victoria. Abigail bought 2 more backpacks. Abigail possesses 5 gigabytes of training data per backpack. How many gigabytes of training data does Abigail have?,There are 18 backpacks in Victoria's collection. Victoria has 2 more backpacks than Abigail. Abigail bought 2 more backpacks. Abigail possesses 5 gigabytes of training data per backpack. How many gigabytes of training data does Abigail have?,90
How many keys does Grace have in their collection now?,Joshua has 8 keys. Joshua bought 19 keys. Grace has 10 fewer keys than Joshua. Grace bought 10 keys.,Joshua has 8 keys. Joshua bought 19 keys. Joshua has 10 more keys than Grace. Grace bought 10 keys.,Joshua has 8 keys. Joshua bought 19 keys. Grace has 10 fewer keys than Joshua. Grace bought 10 keys. How many keys does Grace have in her collection now?,Joshua has 8 keys. Joshua bought 19 keys. Joshua has 10 more keys than Grace. Grace bought 10 keys. How many keys does Grace have in her collection now?,27
How many chairs does Natalie have in all?,Scarlett has 20 chairs. Scarlett bought 15 chairs. Natalie has 14 times as many chairs as Scarlett.,Scarlett has 20 chairs. Scarlett bought 15 chairs. Scarlett has 1/14 the amount of chairs as Natalie.,Scarlett has 20 chairs. Scarlett bought 15 chairs. Natalie has 14 times as many chairs as Scarlett. How many chairs does Natalie have in total?,Scarlett has 20 chairs. Scarlett bought 15 chairs. Scarlett has 1/14 of the amount of chairs as Natalie. How many chairs does Natalie have in total?,490
How many mirrors does Alexander have totaled now?,Amelia has 12 bags. Amelia bought 4 bags. Alexander has 3 times as many bags as Amelia. Each of Alexander's bag has 11 mirrors. Alexander bought 12 mirrors.,Amelia has 12 bags. Amelia bought 4 bags. Amelia has 1/3 the amount of bags as Alexander. Each of Alexander's bag has 11 mirrors. Alexander bought 12 mirrors.,Amelia has 12 bags. Amelia bought 4 bags. Alexander has 3 times as many bags as Amelia. Each of Alexander's bags has 11 mirrors. Alexander bought 12 mirrors. How many mirrors does Alexander have in total now?,Amelia has 12 bags. Amelia bought 4 bags. Amelia has 1/3 of the number of bags as Alexander. Each of Alexander's bags has 11 mirrors. Alexander bought 12 mirrors. How many mirrors does Alexander have in total now?,540
How many gigabytes of training data does Elizabeth have now?,Harper has 12 gigabytes of training data. Elizabeth has 1/6 as much training data in gigabytes as Harper does. Elizabeth bought 6 gigabytes more training data.,Harper has 12 gigabytes of training data. Harper has 6 times as much training data in gigabytes as Elizabeth does. Elizabeth bought 6 gigabytes more training data.,Harper has 12 gigabytes of training data. Elizabeth has 1/6 as much training data in gigabytes as Harper does. Elizabeth bought 6 gigabytes more training data. How many gigabytes of training data does Elizabeth have now?,Harper has 12 gigabytes of training data. Harper has 6 times as much training data in gigabytes as Elizabeth does. Elizabeth bought 6 gigabytes more training data. How many gigabytes of training data does Elizabeth have now?,8
